supplier_ticker,customer_ticker,fiscal_year,revenue_pct,threshold_only,disclosure_status,accn,source_text
AVGO,AAPL,2021,20.0,False,named,0001730168-21-000153,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 20% and 15% of our net revenue for fiscal years 2021 and 2020, respectively."
AVGO,AAPL,2022,20.0,False,named,0001730168-22-000118,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 20% of our net revenue for each of fiscal years 2022 and 2021."
AVGO,AAPL,2023,20.0,False,named,0001730168-23-000096,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 20% of our net revenue for each of fiscal years 2023 and 2022."
AVGO,WT Microelectronics,2019,17.0,False,named,0001730168-19-000144,"Direct sales to WT Microelectronics, a distributor, accounted for 17% of our net revenue for fiscal year 2019."
AVGO,WT Microelectronics,2020,13.0,False,named,0001730168-20-000226,"Direct sales to WT Microelectronics, a distributor, accounted for 13% and 17% of our net revenue for fiscal years 2020 and 2019, respectively."
AVGO,WT Microelectronics,2021,18.0,False,named,0001730168-21-000153,"Direct sales to WT Microelectronics Co., Ltd., a distributor, accounted for 18% and 13% of our net revenue for fiscal years 2021 and 2020, respectively."
AVGO,WT Microelectronics,2022,20.0,False,named,0001730168-22-000118,"Direct sales to WT Microelectronics Co., Ltd., a distributor, accounted for 20% and 18% of our net revenue for fiscal years 2022 and 2021, respectively."
AVGO,WT Microelectronics,2023,21.0,False,named,0001730168-23-000096,"Direct sales to WT Microelectronics Co., Ltd., a distributor, accounted for 21% and 20% of our net revenue for fiscal years 2023 and 2022, respectively."
CRUS,005930.KS,2016,15.0,False,named,0000772406-18-000007,Samsung Electronics represented approximately 15 percent of the Companys total sales for fiscal year 2016.
CRUS,AAPL,2015,72.0,False,named,0001193125-17-181625,"For fiscal years 2017, 2016, and 2015, we had one end customer, Apple, Inc., who purchased through multiple contract manufacturers and represented approximately 79 percent, 66 percent, and 72 percent, of the Companys total sales, respectively."
CRUS,AAPL,2016,66.0,False,named,0000772406-18-000007,"For the twelve-month periods ending March 31, 2018, March 25, 2017, and March 26, 2016, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 81 percent, 79 percent and 66 percent of the Companys total sales, respectively."
CRUS,AAPL,2017,79.0,False,named,0001193125-17-181625,"For fiscal years 2017, 2016, and 2015, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 79 percent, 66 percent, and 72 percent, of the Companys total sales, respectively."
CRUS,AAPL,2018,81.0,False,named,0000772406-18-000007,"For fiscal years 2018, 2017, and 2016, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 81 percent, 79 percent, and 66 percent, of the Companys total sales, respectively."
CRUS,AAPL,2019,78.0,False,named,0000772406-19-000008,"For fiscal years 2019, 2018, and 2017, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 78 percent, 81 percent, and 79 percent, of the Companys total sales, respectively."
CRUS,AAPL,2020,79.0,False,named,0000772406-20-000007,"For the twelve-month periods ending March28, 2020, March30, 2019, and March31, 2018, we had one end customer, Apple, Inc., who purchased through multiple contract manufacturers and represented approximately 79 percent, 78 percent and 81 percent of the Companys total sales, respectively."
CRUS,AAPL,2021,83.0,False,named,0000772406-21-000013,"For the twelve-month periods ending March27, 2021, March28, 2020, and March30, 2019, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 83 percent, 79 percent and 78 percent of the Companys total sales, respectively."
CRUS,AAPL,2022,79.0,False,named,0000772406-22-000014,"For the twelve-month periods ending March26, 2022, March27, 2021, and March28, 2020, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 79 percent, 83 percent and 79 percent of the Companys total sales, respectively."
CRUS,AAPL,2023,83.0,False,named,0000772406-23-000019,"For the twelve-month periods ending March25, 2023, March26, 2022, and March27, 2021, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 83 percent, 79 percent and 83 percent of the Companys total sales, respectively."
CRUS,AAPL,2024,87.0,False,named,0000772406-24-000031,"For the twelve-month periods ending March30, 2024, March25, 2023, and March26, 2022, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 87 percent, 83 percent and 79 percent of the Companys total sales, respectively."
CRUS,AAPL,2025,89.0,False,named,0000772406-25-000014,"For the twelve-month periods ending March29, 2025, March30, 2024, and March25, 2023, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 89 percent, 87 percent and 83 percent of the Companys total net sales, respectively."
CRUS,AAPL,2026,91.0,False,named,0000772406-26-000018,"For the twelve-month periods ending March28, 2026, March29, 2025, and March30, 2024, we had one end customer, Apple Inc., who purchased through multiple contract manufacturers and represented approximately 91 percent, 89 percent and 87 percent of the Companys total net sales, respectively."
CRUS,Hongfujin Precision,2017,20.0,False,unnamed,0000772406-18-000007,"Hongfujin Precision, Protek and Jabil Circuits represented 20 percent, 15 percent, and 13 percent, respectively of our consolidated gross trade accounts receivable as of the end of fiscal year 2017."
CRUS,Hongfujin Precision,2018,11.0,False,unnamed,0000772406-18-000007,"We had three contract manufacturers, Pegatron, Jabil Circuits, and Hongfujin Precision who represented 24 percent, 18 percent, and 11 percent, respectively of our consolidated gross trade accounts receivable as of the end of fiscal year 2018."
CRUS,Jabil Circuits,2017,13.0,False,unnamed,0000772406-18-000007,"Hongfujin Precision, Protek and Jabil Circuits represented 20 percent, 15 percent, and 13 percent, respectively of our consolidated gross trade accounts receivable as of the end of fiscal year 2017."
CRUS,Jabil Circuits,2018,18.0,False,unnamed,0000772406-18-000007,"We had three contract manufacturers, Pegatron, Jabil Circuits, and Hongfujin Precision who represented 24 percent, 18 percent, and 11 percent, respectively of our consolidated gross trade accounts receivable as of the end of fiscal year 2018."
CRUS,Pegatron,2018,24.0,False,unnamed,0000772406-18-000007,"We had three contract manufacturers, Pegatron, Jabil Circuits, and Hongfujin Precision who represented 24 percent, 18 percent, and 11 percent, respectively of our consolidated gross trade accounts receivable as of the end of fiscal year 2018."
CRUS,Protek,2017,15.0,False,unnamed,0000772406-18-000007,"Hongfujin Precision, Protek and Jabil Circuits represented 20 percent, 15 percent, and 13 percent, respectively of our consolidated gross trade accounts receivable as of the end of fiscal year 2017."
GLW,unnamed,2014,10.0,True,unnamed,0000024741-17-000011,"In the year ended December 31, 2014, one customer, which individually accounted for more than 10% of segment net sales, accounted for 11% of total segment net sales."
GLW,unnamed,2015,10.0,True,unnamed,0000024741-17-000011,"In the year ended December 31, 2015, two customers, which individually accounted for more than 10% of segment net sales, accounted for 22% of total segment net sales."
GLW,unnamed,2016,10.0,True,unnamed,0000024741-17-000011,"In the year ended December 31, 2016, one customer, which individually accounted for more than 10% of segment net sales, accounted for 15% of total segment net sales."
GLW,unnamed,2017,10.0,True,unnamed,0000024741-18-000010,"one customer that individually accounted for more than 10% of segment net sales, accounted for 19% of total segment net sales."
JBL,AAPL,2014,18.0,False,named,0001193125-16-742815,"the respective portion of net revenue for the applicable period attributable to our customers who individually accounted for approximately 10% or more of our net revenue in any respective period: Apple, Inc. 18%"
JBL,AAPL,2015,24.0,False,named,0001193125-16-742815,"the respective portion of net revenue for the applicable period attributable to our customers who individually accounted for approximately 10% or more of our net revenue in any respective period: Apple, Inc. 24%"
JBL,AAPL,2016,24.0,False,named,0001193125-16-742815,"the respective portion of net revenue for the applicable period attributable to our customers who individually accounted for approximately 10% or more of our net revenue in any respective period: Apple, Inc. 24%"
JBL,AAPL,2017,24.0,False,named,0001193125-17-313834,"Apple, Inc. accounted for 24% of our net revenue."
JBL,AAPL,2018,28.0,False,named,0001193125-18-303041,"In fiscal year 2018, our five largest customers accounted for approximately 48% of our net revenue and 80 customers accounted for approximately 90% of our net revenue."
JBL,AAPL,2020,20.0,False,named,0001193125-20-274411,"Apple, Inc. 20%"
JBL,AAPL,2021,22.0,False,named,0001193125-21-305429,"In fiscal year 2021, our five largest customers accounted for approximately 47% of our net revenue and 82 customers accounted for approximately 90% of our net revenue."
JBL,AAPL,2022,19.0,False,named,0001193125-22-268383,"In fiscal year 2022, our five largest customers accounted for approximately 44% of our net revenue and 79 customers accounted for approximately 90% of our net revenue."
JBL,AAPL,2023,17.0,False,named,0001193125-23-259599,"In fiscal year 2023, our five largest customers accounted for approximately 42% of our net revenue and 84 customers accounted for approximately 90% of our net revenue."
JBL,AAPL,2024,11.0,False,named,0001628280-24-043960,"In fiscal year 2024, our five largest customers accounted for approximately 36% of our net revenue and 88 customers accounted for approximately 90% of our net revenue."
JBL,AMZN,2020,11.0,False,named,0001193125-20-274411,Amazon.com 11%
JBL,unnamed,2016,10.0,True,unnamed,0001193125-16-742815,"Sales to the following customers who accounted for 10% or more of the Companys net revenues, expressed as a percentage of consolidated net revenue, and the percentage of accounts receivable for each customer, were as follows:"
JBL,unnamed,2017,10.0,True,unnamed,0001193125-17-313834,"Sales to the following customer that accounted for 10% or more of the Companys net revenues, expressed as a percentage of consolidated net revenue, and the percentage of accounts receivable for the customer, were as follows:"
JBL,unnamed,2018,10.0,True,unnamed,0001193125-18-303041,"Sales to the following customer that accounted for 10% or more of the Companys net revenues, expressed as a percentage of consolidated net revenue, and the percentage of accounts receivable for the customer, were as follows:"
JBL,unnamed,2019,10.0,True,unnamed,0001193125-19-271646,"Sales to the following customer that accounted for 10% or more of the Companys net revenues, expressed as a percentage of consolidated net revenue, and the percentage of accounts receivable for the customer, were as follows:"
JBL,unnamed,2020,47.0,False,unnamed,0001193125-20-274411,"In fiscal year 2020, our five largest customers accounted for approximately 47% of our net revenue."
MCHP,Arrow Electronics,2024,12.0,False,named,0000827054-25-000077,"With the exception of Arrow Electronics, our largest distributor, which accounted for 10% and 12% of our net sales in fiscal 2025 and in fiscal 2024, respectively, no other distributor or direct customer accounted for more than 10% of our net sales in fiscal 2025 or in fiscal 2024."
MCHP,Arrow Electronics,2025,10.0,False,named,0000827054-25-000077,"With the exception of Arrow Electronics, our largest distributor, which accounted for 10% and 12% of our net sales in fiscal 2025 and in fiscal 2024, respectively, no other distributor or direct customer accounted for more than 10% of our net sales in fiscal 2025 or in fiscal 2024."
MCHP,Arrow Electronics,2026,12.0,False,named,0000827054-26-000016,"With the exception of Arrow Electronics, our largest distributor, which accounted for 12% and 10% of our net sales in fiscal 2026 and in fiscal 2025, respectively."
ON,unnamed,2020,11.0,False,unnamed,0001628280-21-002219,"We had one distributor whose revenue accounted for approximately 11% of the total revenue for the year ended December 31, 2020."
ON,unnamed,2021,13.0,False,unnamed,0001628280-24-003201,"We had one distributor whose revenue accounted for approximately 12% and 13% of the total revenue for the years ended December 31, 2022 and 2021, respectively."
ON,unnamed,2022,12.0,False,unnamed,0001628280-25-004557,"We had one distributor whose revenue accounted for approximately 12% of the total revenue for the year ended December31, 2022."
ON,unnamed,2024,10.0,False,unnamed,0001097864-26-000006,"We had one distributor whose revenue accounted for approximately 11% and 10% of the total revenue for the years ended December31, 2025 and 2024, respectively."
ON,unnamed,2025,11.0,False,unnamed,0001097864-26-000006,"We had one distributor whose revenue accounted for approximately 11% and 10% of the total revenue for the years ended December31, 2025 and 2024, respectively."
QCOM,005930.KS,2016,12.0,False,named,0001234452-16-000552,"In fiscal 2016, revenues from Samsung Electronics and from Hon Hai Precision Industry Co., Ltd./Foxconn, its affiliates and other suppliers to Apple Inc. each comprised more than 10% of consolidated revenues."
QCOM,005930.KS,2017,10.0,True,named,0001234452-17-000190,"In fiscal 2017, 2016 and 2015, revenues from suppliers to Apple Inc. and from Samsung Electronics each comprised more than 10% of consolidated revenues."
QCOM,AAPL,2016,12.0,False,named,0001234452-16-000552,"In fiscal 2016, revenues from Samsung Electronics and from Hon Hai Precision Industry Co., Ltd./Foxconn, its affiliates and other suppliers to Apple Inc. each comprised more than 10% of consolidated revenues."
QCOM,AAPL,2017,10.0,True,named,0001234452-17-000190,"In fiscal 2017, 2016 and 2015, revenues from suppliers to Apple Inc. and from Samsung Electronics each comprised more than 10% of consolidated revenues."
QCOM,Foxconn,2016,12.0,False,named,0001234452-16-000552,"In fiscal 2016, revenues from Samsung Electronics and from Hon Hai Precision Industry Co., Ltd./Foxconn, its affiliates and other suppliers to Apple Inc. each comprised more than 10% of consolidated revenues."
QCOM,OPPO,2017,10.0,True,unnamed,0001234452-17-000190,"Combined revenues from GuangDong OPPO Mobile Telecommunications Corp. Ltd. and vivo Communication Technology Co., Ltd., and their respective affiliates, also comprised more than 10% of consolidated revenues in fiscal 2017."
QCOM,VIVO,2017,10.0,True,unnamed,0001234452-17-000190,"Combined revenues from GuangDong OPPO Mobile Telecommunications Corp. Ltd. and vivo Communication Technology Co., Ltd., and their respective affiliates, also comprised more than 10% of consolidated revenues in fiscal 2017."
QRVO,005930.KS,2021,7.0,False,named,0001604778-22-000029,"Samsung Electronics Co., Ltd. ('Samsung') accounted for 11% and 7% of total revenue in fiscal years 2022 and 2021, respectively."
QRVO,005930.KS,2022,11.0,False,named,0001604778-22-000029,"Samsung Electronics Co., Ltd. (""Samsung"") accounted for 11% and 7% of total revenue in fiscal years 2022 and 2021, respectively."
QRVO,005930.KS,2023,12.0,False,named,0001604778-23-000055,"Samsung Electronics Co., Ltd. (""Samsung"") accounted for 12% and 11% of total revenue in fiscal years 2023 and 2022, respectively."
QRVO,005930.KS,2024,12.0,False,named,0001604778-24-000036,"Samsung Electronics Co., Ltd. (""Samsung"") accounted for 12% of total revenue in both fiscal years 2024 and 2023."
QRVO,005930.KS,2025,10.0,False,named,0001604778-25-000041,"Samsung Electronics Co., Ltd. ('Samsung') accounted for 10% and 12% of total revenue in fiscal years 2025 and 2024, respectively."
QRVO,005930.KS,2026,10.0,False,named,0001628280-26-032873,"Samsung Electronics Co., Ltd. (""Samsung"") accounted for 10% of total revenue in both fiscal years 2026 and 2025."
QRVO,AAPL,2016,37.0,False,named,0001604778-18-000023,"which in the aggregate accounted for 36%, 34%, and 37% of total revenue in fiscal years 2018, 2017 and 2016, respectively."
QRVO,AAPL,2017,14.0,False,named,0001604778-17-000031,"In fiscal 2017, Huawei was the largest customer for the Company's IDP segment."
QRVO,AAPL,2018,12.0,False,named,0001604778-18-000023,The Company provided its products to Apple through sales to multiple contract manufacturers.
QRVO,AAPL,2019,11.0,False,named,0001604778-19-000031,The Company provided its products to Apple through sales to multiple contract manufacturers.
QRVO,AAPL,2020,33.0,False,named,0001604778-20-000030,"which in the aggregate accounted for 33% of total revenue in fiscal years 2020, 2019 and 2018, respectively."
QRVO,AAPL,2021,30.0,False,named,0001604778-21-000032,"which in the aggregate accounted for 30% and 33% of total revenue in fiscal years 2021 and 2020, respectively."
QRVO,AAPL,2022,33.0,False,named,0001604778-22-000029,"We provide products to our largest end customer, Apple Inc. ('Apple'), through sales to multiple contract manufacturers, which in the aggregate accounted for 33% and 30% of total revenue in fiscal years 2022 and 2021, respectively."
QRVO,AAPL,2023,37.0,False,named,0001604778-23-000055,"We provide products to our largest end customer, Apple Inc. (""Apple""), through sales to multiple contract manufacturers, which in the aggregate accounted for 37% and 33% of total revenue in fiscal years 2023 and 2022, respectively."
QRVO,AAPL,2024,46.0,False,named,0001604778-24-000036,"We provide products to our largest end customer, Apple Inc. ('Apple'), through sales to multiple contract manufacturers, which in the aggregate accounted for 46% and 37% of total revenue in fiscal years 2024 and 2023, respectively."
QRVO,AAPL,2025,47.0,False,named,0001604778-25-000041,"which in the aggregate accounted for 47% and 46% of total revenue in fiscal years 2025 and 2024, respectively."
QRVO,AAPL,2026,50.0,False,named,0001628280-26-032873,"We provide products to our largest end customer, Apple Inc. (""Apple""), through sales to multiple contract manufacturers, which in the aggregate accounted for 50% and 47% of total revenue in fiscal years 2026 and 2025, respectively."
QRVO,Huawei,2016,12.0,False,named,0001604778-18-000023,"Huawei accounted for approximately 8%, 11% and 12% of our total revenue in fiscal years 2018, 2017 and 2016, respectively."
QRVO,Huawei,2017,14.0,False,named,0001604778-17-000031,"In fiscal 2017, Huawei was the largest customer for the Company's IDP segment."
QRVO,Huawei,2019,13.0,False,named,0001604778-19-000031,"Huawei, which accounted for 13% of our total revenue during fiscal 2019."
SWKS,005930.KS,2014,10.0,True,named,0000004127-16-000068,"In fiscal 2016 and fiscal 2014, Foxconn Technology Group (together with its affiliates and other suppliers to a large OEM for use in multiple applications including smartphones, tablets, routers, desktop and notebook computers, Foxconn) and Samsung each constituted more than ten percent of the Companys net revenue."
SWKS,005930.KS,2016,10.0,True,named,0000004127-16-000068,"In fiscal 2016 and fiscal 2014, Foxconn Technology Group (together with its affiliates and other suppliers to a large OEM for use in multiple applications including smartphones, tablets, routers, desktop and notebook computers, Foxconn) and Samsung each constituted more than ten percent of the Companys net revenue."
SWKS,005930.KS,2017,10.0,True,named,0000004127-17-000033,"In fiscal 2017, Samsung Electronics (Samsung) constituted more than ten percent of the Companys net revenue."
SWKS,AAPL,2016,40.0,False,named,0000004127-18-000046,"In the fiscal year ended September 30, 2016 (fiscal 2016), two customersApple and Samsungeach constituted more than ten percent of our net revenue."
SWKS,AAPL,2017,39.0,False,named,0000004127-19-000049,"three customersApple, Samsung Electronics (Samsung), and Huawei Technology Co., Ltd. (Huawei)each constituted ten percent or more of our net revenue."
SWKS,AAPL,2018,47.0,False,named,0000004127-18-000046,"In fiscal 2018, Apple, through sales to multiple distributors, contract manufacturers and direct sales for multiple applications including smartphones, tablets, desktop and notebook computers, watches and other devices, in the aggregate accounted for 47% of the Companys net revenue, respectively."
SWKS,AAPL,2019,10.0,True,named,0000004127-19-000049,"Apple Inc. (Apple), through sales to multiple distributors, contract manufacturers and direct sales for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices) constituted more than ten percent of our net revenue."
SWKS,AAPL,2020,10.0,True,named,0000004127-20-000058,"Apple Inc. (Apple), through sales to multiple distributors, contract manufacturers and direct sales for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices, constituted more than ten percent of our net revenue."
SWKS,AAPL,2021,10.0,True,named,0000004127-21-000058,"Apple, through sales to multiple distributors and contract manufacturers for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices, constituted more than ten percent of our net revenue."
SWKS,AAPL,2022,10.0,True,named,0000004127-22-000038,"Apple, through sales to multiple distributors and contract manufacturers for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices, constituted more than ten percent of our net revenue."
SWKS,AAPL,2023,10.0,True,named,0000004127-23-000030,"Apple, through sales to multiple distributors and contract manufacturers for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices, constituted more than ten percent of our net revenue."
SWKS,AAPL,2024,10.0,True,named,0000004127-24-000131,"In each of the fiscal years ended September27, 2024 (fiscal 2024), September29, 2023 (fiscal 2023), and September30, 2022 (fiscal 2022), Apple, through sales to multiple distributors and contract manufacturers for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices, constituted more than ten percent of our net revenue."
SWKS,AAPL,2025,10.0,True,named,0000004127-25-000085,"Apple, through sales to multiple distributors and contract manufacturers for multiple applications including smartphones, tablets, desktop and notebook computers, watches, and other devices, constituted more than ten percent of our net revenue."
SWKS,Foxconn Technology Group,2015,10.0,True,named,0000004127-17-000033,"In the fiscal year ended October 2, 2015 (fiscal 2015), Foxconn constituted more than ten percent of our net revenue."
SWKS,Foxconn Technology Group,2016,10.0,True,named,0000004127-16-000068,"In fiscal 2016 and fiscal 2014, Foxconn Technology Group (together with its affiliates and other suppliers to a large OEM for use in multiple applications including smartphones, tablets, routers, desktop and notebook computers, Foxconn) and Samsung each constituted more than ten percent of the Companys net revenue."
SWKS,Foxconn Technology Group,2017,10.0,True,named,0000004127-17-000033,"In fiscal 2017, Foxconn Technology Group (together with its affiliates and other suppliers to a large OEM for use in multiple applications including smartphones, tablets, routers, desktop and notebook computers, Foxconn) constituted more than ten percent of the Companys net revenue."
SWKS,Huawei,2017,10.0,True,named,0000004127-18-000046,"In fiscal 2017, Huawei in the aggregate accounted for 10% of the Companys net revenue."
